,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal,BR_div_by_Rooms,Rooms_by_Occup,BR_by_Occup
3235,2.3889,6.0,6.316614420062696,1.2946708463949843,992.0,3.109717868338558,36.09,-119.57,0.532,0.20496277915632755,2.03125,0.41633064516129037
2724,2.1136,23.0,4.1625,0.8875,580.0,3.625,32.8,-115.55,0.61,0.2132132132132132,1.1482758620689655,0.24482758620689654
5679,3.1071,40.0,3.951923076923077,1.1322115384615385,780.0,1.875,33.71,-118.29,4.643,0.2864963503649635,2.1076923076923078,0.6038461538461539
747,3.4722,40.0,4.944649446494465,1.154981549815498,766.0,2.8265682656826567,37.66,-122.09,1.354,0.2335820895522388,1.7493472584856395,0.4086161879895561
12387,3.0021,19.0,5.934803451581975,1.299137104506232,2242.0,2.149568552253116,33.72,-116.37,1.523,0.2189014539579968,2.7609277430865298,0.604371097234612
3201,3.1094,15.0,4.40920716112532,0.9565217391304348,947.0,2.421994884910486,36.35,-119.66,0.919,0.21693735498839908,1.8204857444561773,0.39493136219640973
12697,3.8672,36.0,5.769565217391304,0.908695652173913,613.0,2.6652173913043478,38.6,-121.42,1.114,0.15749811605124342,2.164763458401305,0.34094616639477976
2361,4.5625,20.0,6.202197802197802,1.0527472527472528,1372.0,3.0153846153846153,36.78,-119.53,1.369,0.16973777462792347,2.056851311953353,0.3491253644314869
3781,5.1169,46.0,5.590106007067138,0.9858657243816255,603.0,2.1307420494699647,34.16,-118.39,4.143,0.1763590391908976,2.6235489220563846,0.4626865671641791
17669,2.2259,24.0,3.1024,1.0432,1808.0,2.8928,37.31,-121.86,1.125,0.33625580195977306,1.0724557522123894,0.3606194690265487
3018,2.6389,45.0,5.497175141242938,1.0338983050847457,500.0,2.824858757062147,35.07,-119.45,0.3,0.18807810894141827,1.9459999999999997,0.36599999999999994
2818,2.0331,37.0,4.824657534246575,1.2136986301369863,911.0,2.495890410958904,35.41,-119.03,0.532,0.25156161272004546,1.9330406147091108,0.48627881448957194
4439,4.239,39.0,5.096774193548387,1.0496277915632755,1205.0,2.990074441687345,34.1,-118.19,2.13,0.2059396299902629,1.704564315352697,0.3510373443983403
13207,2.5735,20.0,4.742203742203742,0.9230769230769231,1545.0,3.212058212058212,34.05,-117.71,1.305,0.1946514686540991,1.4763754045307442,0.28737864077669906
12316,2.183,16.0,6.300675675675675,1.3969594594594594,1346.0,2.2736486486486487,33.49,-116.6,1.135,0.22171581769437,2.7711738484398216,0.6144130757800891
12810,1.6331,35.0,4.182926829268292,1.0975609756097562,850.0,2.591463414634146,38.61,-121.47,0.675,0.2623906705539359,1.6141176470588234,0.42352941176470593
14147,2.3812,35.0,6.2894736842105265,1.1096491228070176,753.0,3.3026315789473686,32.74,-117.08,1.351,0.17642956764295675,1.904382470119522,0.33598937583001326
17776,3.5625,34.0,3.948186528497409,0.9430051813471503,611.0,3.1658031088082903,37.38,-121.84,2.018,0.2388451443569554,1.2471358428805237,0.2978723404255319
4050,10.4399,23.0,8.31067125645439,1.0232358003442341,3585.0,3.085197934595525,34.14,-118.56,5.00001,0.12312312312312312,2.693723849372385,0.3316596931659693
15691,10.8783,52.0,8.503184713375797,0.9617834394904459,402.0,2.5605095541401273,37.79,-122.44,5.00001,0.11310861423220973,3.32089552238806,0.3756218905472637
7571,2.7443,39.0,4.347222222222222,1.011111111111111,1389.0,3.8583333333333334,33.89,-118.21,1.139,0.2325878594249201,1.1267098632109431,0.26205903527717783
1216,2.9821,19.0,5.278947368421052,1.236842105263158,538.0,2.831578947368421,38.24,-120.79,0.904,0.2342971086739781,1.8643122676579926,0.4368029739776952
18465,4.7386,21.0,5.7405405405405405,0.9675675675675676,631.0,3.4108108108108106,37.16,-121.72,3.941,0.16854990583804144,1.683042789223455,0.28367670364500797
11088,4.8906,21.0,5.356902356902357,1.0033670033670035,904.0,3.0437710437710437,33.82,-117.89,1.791,0.18730358265241986,1.7599557522123896,0.3296460176991151
12357,2.25,20.0,6.5,1.4513513513513514,1304.0,1.7621621621621621,33.69,-116.5,2.481,0.2232848232848233,3.688650306748466,0.8236196319018405
1342,5.102,8.0,5.681818181818182,0.9896694214876033,1526.0,3.152892561983471,38.02,-121.92,1.565,0.1741818181818182,1.802096985583224,0.31389252948885976
16571,4.8021,45.0,5.927536231884058,1.0434782608695652,340.0,2.463768115942029,37.74,-121.42,1.335,0.17603911980440098,2.4058823529411764,0.4235294117647059
3213,3.0846,47.0,5.933333333333334,1.1333333333333333,832.0,2.641269841269841,36.34,-119.65,0.761,0.19101123595505617,2.246394230769231,0.42908653846153844
